t_recv_s,marker_finger_x,marker_finger_y,marker_finger_z,marker_finger_detected,marker_wrist_x,marker_wrist_y,marker_wrist_z,marker_wrist_detected
9.26531,0.116022,-0.104068,0.098965,1,0.076709,-0.063336,0.132678,1
9.29743,0.116073,-0.104431,0.099249,1,0.076745,-0.063339,0.132784,1
9.33343,0.116138,-0.103712,0.098905,1,0.076838,-0.063375,0.132686,1
9.36528,0.116205,-0.104092,0.099016,1,0.076895,-0.063408,0.132709,1
9.39739,0.116050,-0.103971,0.099197,1,0.076569,-0.063231,0.132749,1
9.43331,0.116441,-0.103679,0.099047,1,0.076873,-0.062834,0.132654,1
9.46540,0.116642,-0.103622,0.098859,1,0.077040,-0.063175,0.132575,1
9.49744,0.117426,-0.102618,0.099069,1,0.077418,-0.063174,0.132829,1
9.53342,0.118647,-0.102059,0.099156,1,0.078097,-0.061826,0.132687,1
9.56539,0.120400,-0.100619,0.098675,1,0.079370,-0.061864,0.132529,1
9.59741,0.121901,-0.100353,0.098671,1,0.080451,-0.061858,0.132571,1
9.63344,0.123352,-0.099362,0.098593,1,0.081373,-0.060467,0.132359,1
9.66544,0.124697,-0.098230,0.098268,1,0.082275,-0.060180,0.132174,1
9.69742,0.126096,-0.097270,0.098053,1,0.083262,-0.060173,0.132147,1
9.73344,0.127369,-0.095415,0.098212,1,0.083831,-0.059410,0.132223,1
9.76528,0.129057,-0.094175,0.098745,1,0.084749,-0.058225,0.132343,1
9.79741,0.130604,-0.092904,0.098468,1,0.085827,-0.058528,0.132289,1
9.83352,0.132155,-0.091892,0.098724,1,0.086690,-0.058189,0.132416,1
9.86542,0.134328,-0.089346,0.098503,1,0.088082,-0.056103,0.132224,1
9.89732,0.136517,-0.087208,0.098122,1,0.089587,-0.055419,0.132053,1
9.93343,0.138366,-0.085888,0.098263,1,0.090832,-0.055408,0.132179,1
9.96532,0.140509,-0.084089,0.098389,1,0.092408,-0.053978,0.132218,1
9.99741,0.142456,-0.082201,0.098353,1,0.093576,-0.052528,0.131902,1
10.03341,0.144347,-0.080534,0.098326,1,0.094890,-0.051889,0.131869,1
10.06548,0.146362,-0.078156,0.098517,1,0.096327,-0.050891,0.132097,1
10.09756,0.148188,-0.075926,0.098536,1,0.097484,-0.048966,0.131844,1
10.13342,0.150051,-0.073443,0.098416,1,0.098752,-0.047627,0.131695,1
10.16532,0.151876,-0.070868,0.098455,1,0.100070,-0.047001,0.131866,1
10.19741,0.153705,-0.067589,0.098331,1,0.101303,-0.045273,0.131846,1
10.23371,0.155264,-0.064767,0.098020,1,0.102392,-0.043412,0.131510,1
10.26540,0.156736,-0.062825,0.097907,1,0.103581,-0.043177,0.131599,1
10.29743,0.158016,-0.060933,0.098116,1,0.104595,-0.041440,0.131691,1
10.33342,0.158832,-0.058999,0.098120,1,0.105122,-0.039968,0.131540,1
10.36547,0.159385,-0.057616,0.098005,1,0.105453,-0.039729,0.131483,1
10.39742,0.159961,-0.057167,0.098060,1,0.106093,-0.039383,0.131639,1
10.43331,0.159919,-0.056854,0.098149,1,0.106037,-0.038512,0.131560,1
10.46542,0.159631,-0.057755,0.097286,1,0.106170,-0.039309,0.131197,1
10.49745,0.159412,-0.056251,0.096525,1,0.105976,-0.038758,0.130948,1
10.53346,0.159307,-0.057672,0.097086,1,0.105992,-0.039109,0.131208,1
10.56542,0.159069,-0.057535,0.096631,1,0.105746,-0.038600,0.130794,1
10.59730,0.159156,-0.057737,0.096777,1,0.105802,-0.039265,0.130970,1
10.63341,0.159189,-0.057378,0.096828,1,0.105863,-0.039210,0.131176,1
10.66528,0.159201,-0.057712,0.096864,1,0.105926,-0.038547,0.130959,1
10.69748,0.159079,-0.056982,0.096556,1,0.105659,-0.038399,0.130762,1
10.73339,0.159151,-0.058189,0.096809,1,0.105943,-0.039309,0.131031,1
10.76539,0.159329,-0.057201,0.096710,1,0.106033,-0.038695,0.131026,1
10.79739,0.159056,-0.057035,0.096654,1,0.105667,-0.038449,0.130851,1
10.83326,0.159065,-0.057848,0.096739,1,0.105793,-0.039136,0.130959,1
10.86537,0.159182,-0.057637,0.096900,1,0.105883,-0.039370,0.131212,1
10.89755,0.159201,-0.057288,0.096621,1,0.105893,-0.038225,0.130776,1
10.93352,0.159271,-0.057229,0.096421,1,0.105980,-0.038790,0.130795,1
10.96540,0.159049,-0.058108,0.096971,1,0.105809,-0.039293,0.131162,1
